Cluster ID,index,latitude,longitude,units
2326,3776,37.2693,-121.8439,135
2327,3782,37.961244,-122.356241,32
2328,3789,37.2467,-121.8348,198
2329,3798,38.241379,-122.050529,59
2330,3805,37.321947,-121.911288,138
2331,3808,37.313875,-121.883712,66
2332,3813,37.414444,-121.960651,637
2333,3827,37.431142,-122.427658,80
2334,3841,38.412852,-122.740997,66
2335,3842,38.6214,-122.8167,23
2336,3850,38.265478,-122.043073,148
2337,3852,37.785243,-122.411188,52
2338,3879,37.99954,-121.819389,129
2339,3881,38.005673,-121.831007,186
2340,3888,37.273692,-121.849776,83
2341,3889,37.273409,-121.849758,83
2342,3893,37.77170731,-122.2634151,9
2343,3894,37.77980794,-122.278486,54
2344,3895,37.77980794,-122.278486,12
2345,3896,37.77738551,-122.2832876,26
2346,3897,37.77980794,-122.278486,9
2347,3898,37.77980794,-122.278486,28
2348,3899,37.77980794,-122.278486,45
2349,3902,37.77190018,-122.2567978,39
2350,3915,38.00590006,-121.8542071,20
2351,3917,38.00339124,-121.8075314,16
2352,3919,38.02400831,-121.9513287,14
2353,3956,37.86997689,-122.2950829,8
2354,3957,37.865193,-122.2966944,10
2355,3958,37.86521193,-122.264934,7
2356,3959,37.8489994,-122.269077,8
2357,3960,37.86351675,-122.2790314,6
2358,3962,37.88114048,-122.2728894,15
2359,3963,37.87058457,-122.2915452,32
2360,3964,37.86992366,-122.285307,35
2361,3965,37.87068845,-122.3034634,26
2362,3975,37.99318314,-121.7097168,114
2363,3977,37.68428546,-122.4026387,14
